,Generation Step,Generation Model,Trial Index,Trial Status,Arm Parameterizations
0,0,Sobol,0,COMPLETED,"{'0_0': {'dt': 0.63, 'sensor_std': 1.22, 'integration_method': 'RK4'}}"
1,0,Sobol,1,COMPLETED,"{'1_0': {'dt': 0.66, 'sensor_std': 0.42, 'integration_method': 'RK2'}}"
2,0,Sobol,2,COMPLETED,"{'2_0': {'dt': 0.25, 'sensor_std': 0.92, 'integration_method': 'RK4'}}"
3,0,Sobol,3,COMPLETED,"{'3_0': {'dt': 0.54, 'sensor_std': 0.91, 'integration_method': 'RK4'}}"
4,0,Sobol,4,COMPLETED,"{'4_0': {'dt': 0.75, 'sensor_std': 0.24, 'integration_method': 'RK2'}}"
5,0,Sobol,5,COMPLETED,"{'5_0': {'dt': 1.3, 'sensor_std': 1.29, 'integration_method': 'RK4'}}"
6,1,BO_MIXED,8,COMPLETED,"{'8_0': {'dt': 1.4, 'sensor_std': 1.4, 'integration_method': 'RK4'}}"
7,1,BO_MIXED,9,COMPLETED,"{'9_0': {'dt': 1.42, 'sensor_std': 1.24, 'integration_method': 'RK4'}}"
8,1,BO_MIXED,6,COMPLETED,"{'6_0': {'dt': 1.5, 'sensor_std': 1.3, 'integration_method': 'RK4'}}"
9,1,BO_MIXED,7,COMPLETED,"{'7_0': {'dt': 1.41, 'sensor_std': 1.09, 'integration_method': 'RK4'}}"
