,Generation Step,Generation Model,Trial Index,Trial Status,Arm Parameterizations
0,0,Sobol,0,COMPLETED,"{'0_0': {'dt': 0.35, 'sensor_std': 0.69, 'integration_method': 'RK1'}}"
1,0,Sobol,1,COMPLETED,"{'1_0': {'dt': 1.44, 'sensor_std': 0.53, 'integration_method': 'RK1'}}"
2,0,Sobol,2,COMPLETED,"{'2_0': {'dt': 1.07, 'sensor_std': 1.41, 'integration_method': 'RK2'}}"
3,0,Sobol,3,COMPLETED,"{'3_0': {'dt': 0.82, 'sensor_std': 1.95, 'integration_method': 'RK2'}}"
4,0,Sobol,4,COMPLETED,"{'4_0': {'dt': 1.39, 'sensor_std': 1.63, 'integration_method': 'RK1'}}"
5,0,Sobol,5,COMPLETED,"{'5_0': {'dt': 1.41, 'sensor_std': 0.32, 'integration_method': 'RK1'}}"
6,1,BO_MIXED,6,COMPLETED,"{'6_0': {'dt': 1.5, 'sensor_std': 0.01, 'integration_method': 'RK1'}}"
7,1,BO_MIXED,7,COMPLETED,"{'7_0': {'dt': 1.02, 'sensor_std': 1.71, 'integration_method': 'RK2'}}"
8,1,BO_MIXED,8,COMPLETED,"{'8_0': {'dt': 0.63, 'sensor_std': 1.58, 'integration_method': 'RK2'}}"
9,1,BO_MIXED,9,COMPLETED,"{'9_0': {'dt': 1.23, 'sensor_std': 0.44, 'integration_method': 'RK1'}}"
10,1,BO_MIXED,10,COMPLETED,"{'10_0': {'dt': 1.1, 'sensor_std': 2.0, 'integration_method': 'RK2'}}"
11,1,BO_MIXED,11,COMPLETED,"{'11_0': {'dt': 1.32, 'sensor_std': 1.55, 'integration_method': 'RK2'}}"
12,1,BO_MIXED,12,COMPLETED,"{'12_0': {'dt': 1.16, 'sensor_std': 1.76, 'integration_method': 'RK2'}}"
13,1,BO_MIXED,13,COMPLETED,"{'13_0': {'dt': 0.93, 'sensor_std': 2.0, 'integration_method': 'RK2'}}"
14,1,BO_MIXED,14,COMPLETED,"{'14_0': {'dt': 0.97, 'sensor_std': 1.92, 'integration_method': 'RK2'}}"
15,1,BO_MIXED,15,COMPLETED,"{'15_0': {'dt': 0.93, 'sensor_std': 2.0, 'integration_method': 'RK2'}}"
16,1,BO_MIXED,16,COMPLETED,"{'16_0': {'dt': 0.95, 'sensor_std': 2.0, 'integration_method': 'RK2'}}"
17,1,BO_MIXED,17,COMPLETED,"{'17_0': {'dt': 0.99, 'sensor_std': 1.73, 'integration_method': 'RK2'}}"
18,1,BO_MIXED,18,COMPLETED,"{'18_0': {'dt': 0.99, 'sensor_std': 2.0, 'integration_method': 'RK2'}}"
19,1,BO_MIXED,19,COMPLETED,"{'19_0': {'dt': 0.98, 'sensor_std': 1.46, 'integration_method': 'RK2'}}"
20,1,BO_MIXED,20,COMPLETED,"{'20_0': {'dt': 0.98, 'sensor_std': 1.48, 'integration_method': 'RK2'}}"
21,1,BO_MIXED,21,COMPLETED,"{'21_0': {'dt': 0.97, 'sensor_std': 1.35, 'integration_method': 'RK2'}}"
22,1,BO_MIXED,22,COMPLETED,"{'22_0': {'dt': 1.0, 'sensor_std': 2.0, 'integration_method': 'RK2'}}"
23,1,BO_MIXED,23,COMPLETED,"{'23_0': {'dt': 0.98, 'sensor_std': 1.59, 'integration_method': 'RK2'}}"
24,1,BO_MIXED,24,COMPLETED,"{'24_0': {'dt': 0.98, 'sensor_std': 1.19, 'integration_method': 'RK2'}}"
25,1,BO_MIXED,25,COMPLETED,"{'25_0': {'dt': 0.97, 'sensor_std': 1.45, 'integration_method': 'RK2'}}"
26,1,BO_MIXED,26,COMPLETED,"{'26_0': {'dt': 1.0, 'sensor_std': 1.72, 'integration_method': 'RK2'}}"
27,1,BO_MIXED,27,COMPLETED,"{'27_0': {'dt': 0.99, 'sensor_std': 1.46, 'integration_method': 'RK2'}}"
28,1,BO_MIXED,28,COMPLETED,"{'28_0': {'dt': 0.98, 'sensor_std': 1.77, 'integration_method': 'RK2'}}"
29,1,BO_MIXED,29,COMPLETED,"{'29_0': {'dt': 0.97, 'sensor_std': 1.34, 'integration_method': 'RK2'}}"
30,1,BO_MIXED,30,COMPLETED,"{'30_0': {'dt': 1.0, 'sensor_std': 1.51, 'integration_method': 'RK2'}}"
31,1,BO_MIXED,31,COMPLETED,"{'31_0': {'dt': 0.99, 'sensor_std': 1.72, 'integration_method': 'RK2'}}"
32,1,BO_MIXED,32,COMPLETED,"{'32_0': {'dt': 0.97, 'sensor_std': 1.83, 'integration_method': 'RK2'}}"
33,1,BO_MIXED,33,COMPLETED,"{'33_0': {'dt': 1.01, 'sensor_std': 1.72, 'integration_method': 'RK2'}}"
34,1,BO_MIXED,34,COMPLETED,"{'34_0': {'dt': 0.97, 'sensor_std': 1.36, 'integration_method': 'RK2'}}"
35,1,BO_MIXED,35,COMPLETED,"{'35_0': {'dt': 1.0, 'sensor_std': 1.71, 'integration_method': 'RK2'}}"
36,1,BO_MIXED,36,COMPLETED,"{'36_0': {'dt': 0.98, 'sensor_std': 1.73, 'integration_method': 'RK2'}}"
37,1,BO_MIXED,37,COMPLETED,"{'37_0': {'dt': 0.94, 'sensor_std': 2.0, 'integration_method': 'RK2'}}"
38,1,BO_MIXED,38,COMPLETED,"{'38_0': {'dt': 0.83, 'sensor_std': 1.95, 'integration_method': 'RK2'}}"
39,1,BO_MIXED,39,COMPLETED,"{'39_0': {'dt': 0.82, 'sensor_std': 1.94, 'integration_method': 'RK2'}}"
40,1,BO_MIXED,40,COMPLETED,"{'40_0': {'dt': 0.83, 'sensor_std': 1.95, 'integration_method': 'RK2'}}"
41,1,BO_MIXED,41,COMPLETED,"{'41_0': {'dt': 0.98, 'sensor_std': 1.47, 'integration_method': 'RK2'}}"
42,1,BO_MIXED,42,COMPLETED,"{'42_0': {'dt': 0.83, 'sensor_std': 1.95, 'integration_method': 'RK2'}}"
43,1,BO_MIXED,43,COMPLETED,"{'43_0': {'dt': 0.83, 'sensor_std': 1.95, 'integration_method': 'RK2'}}"
44,1,BO_MIXED,44,COMPLETED,"{'44_0': {'dt': 1.0, 'sensor_std': 1.72, 'integration_method': 'RK2'}}"
45,1,BO_MIXED,45,COMPLETED,"{'45_0': {'dt': 1.0, 'sensor_std': 1.72, 'integration_method': 'RK2'}}"
46,1,BO_MIXED,46,COMPLETED,"{'46_0': {'dt': 0.97, 'sensor_std': 1.59, 'integration_method': 'RK2'}}"
47,1,BO_MIXED,47,COMPLETED,"{'47_0': {'dt': 0.93, 'sensor_std': 2.0, 'integration_method': 'RK2'}}"
48,1,BO_MIXED,48,COMPLETED,"{'48_0': {'dt': 1.0, 'sensor_std': 1.72, 'integration_method': 'RK2'}}"
49,1,BO_MIXED,49,COMPLETED,"{'49_0': {'dt': 0.98, 'sensor_std': 1.51, 'integration_method': 'RK2'}}"
50,1,BO_MIXED,50,COMPLETED,"{'50_0': {'dt': 0.98, 'sensor_std': 1.34, 'integration_method': 'RK2'}}"
51,1,BO_MIXED,51,COMPLETED,"{'51_0': {'dt': 1.02, 'sensor_std': 2.0, 'integration_method': 'RK2'}}"
52,1,BO_MIXED,52,COMPLETED,"{'52_0': {'dt': 0.82, 'sensor_std': 2.0, 'integration_method': 'RK2'}}"
53,1,BO_MIXED,53,COMPLETED,"{'53_0': {'dt': 0.97, 'sensor_std': 1.6, 'integration_method': 'RK2'}}"
54,1,BO_MIXED,54,COMPLETED,"{'54_0': {'dt': 0.99, 'sensor_std': 1.48, 'integration_method': 'RK2'}}"
55,1,BO_MIXED,55,COMPLETED,"{'55_0': {'dt': 0.98, 'sensor_std': 1.42, 'integration_method': 'RK2'}}"
56,1,BO_MIXED,56,COMPLETED,"{'56_0': {'dt': 0.98, 'sensor_std': 1.28, 'integration_method': 'RK2'}}"
57,1,BO_MIXED,57,COMPLETED,"{'57_0': {'dt': 0.97, 'sensor_std': 1.19, 'integration_method': 'RK2'}}"
58,1,BO_MIXED,58,COMPLETED,"{'58_0': {'dt': 0.82, 'sensor_std': 1.91, 'integration_method': 'RK2'}}"
59,1,BO_MIXED,59,COMPLETED,"{'59_0': {'dt': 0.93, 'sensor_std': 1.89, 'integration_method': 'RK2'}}"
60,1,BO_MIXED,60,COMPLETED,"{'60_0': {'dt': 0.83, 'sensor_std': 0.82, 'integration_method': 'RK2'}}"
61,1,BO_MIXED,61,COMPLETED,"{'61_0': {'dt': 1.0, 'sensor_std': 1.46, 'integration_method': 'RK2'}}"
62,1,BO_MIXED,62,COMPLETED,"{'62_0': {'dt': 0.82, 'sensor_std': 1.14, 'integration_method': 'RK4'}}"
63,1,BO_MIXED,63,COMPLETED,"{'63_0': {'dt': 0.93, 'sensor_std': 1.82, 'integration_method': 'RK2'}}"
64,1,BO_MIXED,64,COMPLETED,"{'64_0': {'dt': 1.02, 'sensor_std': 0.3, 'integration_method': 'RK4'}}"
65,1,BO_MIXED,65,COMPLETED,"{'65_0': {'dt': 1.32, 'sensor_std': 1.1, 'integration_method': 'RK2'}}"
66,1,BO_MIXED,66,COMPLETED,"{'66_0': {'dt': 0.97, 'sensor_std': 0.73, 'integration_method': 'RK2'}}"
67,1,BO_MIXED,67,COMPLETED,"{'67_0': {'dt': 0.99, 'sensor_std': 1.95, 'integration_method': 'RK2'}}"
68,1,BO_MIXED,68,COMPLETED,"{'68_0': {'dt': 0.98, 'sensor_std': 1.72, 'integration_method': 'RK2'}}"
69,1,BO_MIXED,69,COMPLETED,"{'69_0': {'dt': 0.99, 'sensor_std': 1.59, 'integration_method': 'RK2'}}"
70,1,BO_MIXED,70,COMPLETED,"{'70_0': {'dt': 0.83, 'sensor_std': 1.92, 'integration_method': 'RK2'}}"
71,1,BO_MIXED,71,COMPLETED,"{'71_0': {'dt': 1.0, 'sensor_std': 1.97, 'integration_method': 'RK2'}}"
72,1,BO_MIXED,72,COMPLETED,"{'72_0': {'dt': 0.94, 'sensor_std': 1.98, 'integration_method': 'RK2'}}"
73,1,BO_MIXED,73,COMPLETED,"{'73_0': {'dt': 0.99, 'sensor_std': 1.5, 'integration_method': 'RK2'}}"
74,1,BO_MIXED,74,COMPLETED,"{'74_0': {'dt': 0.99, 'sensor_std': 1.86, 'integration_method': 'RK4'}}"
75,1,BO_MIXED,75,COMPLETED,"{'75_0': {'dt': 1.02, 'sensor_std': 1.84, 'integration_method': 'RK2'}}"
76,1,BO_MIXED,76,COMPLETED,"{'76_0': {'dt': 0.98, 'sensor_std': 1.82, 'integration_method': 'RK2'}}"
77,1,BO_MIXED,77,COMPLETED,"{'77_0': {'dt': 0.93, 'sensor_std': 1.88, 'integration_method': 'RK2'}}"
78,1,BO_MIXED,78,COMPLETED,"{'78_0': {'dt': 0.98, 'sensor_std': 1.64, 'integration_method': 'RK2'}}"
79,1,BO_MIXED,79,COMPLETED,"{'79_0': {'dt': 0.83, 'sensor_std': 1.99, 'integration_method': 'RK2'}}"
80,1,BO_MIXED,80,COMPLETED,"{'80_0': {'dt': 0.99, 'sensor_std': 1.43, 'integration_method': 'RK2'}}"
81,1,BO_MIXED,81,COMPLETED,"{'81_0': {'dt': 1.0, 'sensor_std': 1.69, 'integration_method': 'RK2'}}"
82,1,BO_MIXED,82,COMPLETED,"{'82_0': {'dt': 1.0, 'sensor_std': 1.81, 'integration_method': 'RK2'}}"
83,1,BO_MIXED,83,COMPLETED,"{'83_0': {'dt': 0.99, 'sensor_std': 1.45, 'integration_method': 'RK2'}}"
84,1,BO_MIXED,84,COMPLETED,"{'84_0': {'dt': 0.98, 'sensor_std': 1.47, 'integration_method': 'RK1'}}"
85,1,BO_MIXED,85,COMPLETED,"{'85_0': {'dt': 0.97, 'sensor_std': 0.8, 'integration_method': 'RK2'}}"
86,1,BO_MIXED,86,COMPLETED,"{'86_0': {'dt': 0.98, 'sensor_std': 1.46, 'integration_method': 'RK2'}}"
87,1,BO_MIXED,87,COMPLETED,"{'87_0': {'dt': 0.98, 'sensor_std': 1.38, 'integration_method': 'RK2'}}"
88,1,BO_MIXED,88,COMPLETED,"{'88_0': {'dt': 0.82, 'sensor_std': 1.96, 'integration_method': 'RK2'}}"
89,1,BO_MIXED,89,COMPLETED,"{'89_0': {'dt': 0.97, 'sensor_std': 0.83, 'integration_method': 'RK2'}}"
