,Generation Step,Generation Model,Trial Index,Trial Status,Arm Parameterizations
0,0,Sobol,0,COMPLETED,"{'0_0': {'dt': 0.94, 'sensor_std': 7.59, 'integration_method': 'RK4'}}"
1,0,Sobol,1,COMPLETED,"{'1_0': {'dt': 1.3, 'sensor_std': 6.26, 'integration_method': 'RK1'}}"
2,0,Sobol,2,COMPLETED,"{'2_0': {'dt': 1.2, 'sensor_std': 3.32, 'integration_method': 'RK4'}}"
3,0,Sobol,3,COMPLETED,"{'3_0': {'dt': 0.62, 'sensor_std': 1.61, 'integration_method': 'RK4'}}"
4,0,Sobol,4,COMPLETED,"{'4_0': {'dt': 1.47, 'sensor_std': 8.91, 'integration_method': 'RK2'}}"
5,0,Sobol,5,COMPLETED,"{'5_0': {'dt': 1.25, 'sensor_std': 5.35, 'integration_method': 'RK2'}}"
6,0,Sobol,6,COMPLETED,"{'6_0': {'dt': 0.78, 'sensor_std': 8.67, 'integration_method': 'RK1'}}"
7,0,Sobol,7,COMPLETED,"{'7_0': {'dt': 0.75, 'sensor_std': 2.72, 'integration_method': 'RK2'}}"
8,0,Sobol,8,COMPLETED,"{'8_0': {'dt': 0.14, 'sensor_std': 0.29, 'integration_method': 'RK4'}}"
9,0,Sobol,9,COMPLETED,"{'9_0': {'dt': 0.51, 'sensor_std': 6.34, 'integration_method': 'RK4'}}"
10,0,Sobol,10,COMPLETED,"{'10_0': {'dt': 1.18, 'sensor_std': 4.49, 'integration_method': 'RK4'}}"
11,0,Sobol,11,COMPLETED,"{'11_0': {'dt': 0.11, 'sensor_std': 7.76, 'integration_method': 'RK2'}}"
12,0,Sobol,12,COMPLETED,"{'12_0': {'dt': 1.02, 'sensor_std': 0.81, 'integration_method': 'RK2'}}"
13,0,Sobol,13,COMPLETED,"{'13_0': {'dt': 1.38, 'sensor_std': 1.63, 'integration_method': 'RK1'}}"
14,0,Sobol,14,COMPLETED,"{'14_0': {'dt': 1.28, 'sensor_std': 2.53, 'integration_method': 'RK4'}}"
15,0,Sobol,15,COMPLETED,"{'15_0': {'dt': 1.3, 'sensor_std': 0.16, 'integration_method': 'RK1'}}"
16,0,Sobol,16,COMPLETED,"{'16_0': {'dt': 0.41, 'sensor_std': 9.63, 'integration_method': 'RK1'}}"
17,0,Sobol,17,COMPLETED,"{'17_0': {'dt': 1.37, 'sensor_std': 3.02, 'integration_method': 'RK2'}}"
18,0,Sobol,18,COMPLETED,"{'18_0': {'dt': 0.35, 'sensor_std': 0.49, 'integration_method': 'RK4'}}"
19,0,Sobol,19,COMPLETED,"{'19_0': {'dt': 0.93, 'sensor_std': 0.63, 'integration_method': 'RK4'}}"
20,1,BO_MIXED,20,COMPLETED,"{'20_0': {'dt': 0.23, 'sensor_std': 3.1, 'integration_method': 'RK4'}}"
21,1,BO_MIXED,21,COMPLETED,"{'21_0': {'dt': 0.22, 'sensor_std': 0.1, 'integration_method': 'RK4'}}"
22,1,BO_MIXED,22,COMPLETED,"{'22_0': {'dt': 0.2, 'sensor_std': 0.76, 'integration_method': 'RK4'}}"
23,1,BO_MIXED,23,COMPLETED,"{'23_0': {'dt': 0.2, 'sensor_std': 0.1, 'integration_method': 'RK4'}}"
24,1,BO_MIXED,24,COMPLETED,"{'24_0': {'dt': 0.26, 'sensor_std': 0.89, 'integration_method': 'RK4'}}"
25,1,BO_MIXED,25,COMPLETED,"{'25_0': {'dt': 0.12, 'sensor_std': 2.06, 'integration_method': 'RK4'}}"
26,1,BO_MIXED,26,COMPLETED,"{'26_0': {'dt': 0.23, 'sensor_std': 1.3, 'integration_method': 'RK4'}}"
27,1,BO_MIXED,27,COMPLETED,"{'27_0': {'dt': 0.17, 'sensor_std': 2.48, 'integration_method': 'RK4'}}"
28,1,BO_MIXED,28,COMPLETED,"{'28_0': {'dt': 0.1, 'sensor_std': 0.68, 'integration_method': 'RK4'}}"
29,1,BO_MIXED,29,COMPLETED,"{'29_0': {'dt': 0.13, 'sensor_std': 1.07, 'integration_method': 'RK4'}}"
30,1,BO_MIXED,30,COMPLETED,"{'30_0': {'dt': 0.26, 'sensor_std': 0.1, 'integration_method': 'RK4'}}"
31,1,BO_MIXED,31,COMPLETED,"{'31_0': {'dt': 0.3, 'sensor_std': 0.1, 'integration_method': 'RK4'}}"
32,1,BO_MIXED,32,COMPLETED,"{'32_0': {'dt': 0.21, 'sensor_std': 3.07, 'integration_method': 'RK4'}}"
33,1,BO_MIXED,33,COMPLETED,"{'33_0': {'dt': 0.39, 'sensor_std': 1.94, 'integration_method': 'RK4'}}"
