,Generation Step,Generation Model,Trial Index,Trial Status,Arm Parameterizations
0,0,Sobol,0,COMPLETED,"{'0_0': {'dt': 0.56, 'sensor_std': 1.32, 'integration_method': 'RK1'}}"
1,0,Sobol,1,COMPLETED,"{'1_0': {'dt': 0.66, 'sensor_std': 0.83, 'integration_method': 'RK4'}}"
2,0,Sobol,2,COMPLETED,"{'2_0': {'dt': 1.47, 'sensor_std': 1.7, 'integration_method': 'RK2'}}"
3,0,Sobol,3,COMPLETED,"{'3_0': {'dt': 0.66, 'sensor_std': 0.35, 'integration_method': 'RK4'}}"
4,0,Sobol,4,COMPLETED,"{'4_0': {'dt': 0.76, 'sensor_std': 0.19, 'integration_method': 'RK2'}}"
5,0,Sobol,5,COMPLETED,"{'5_0': {'dt': 0.32, 'sensor_std': 0.92, 'integration_method': 'RK1'}}"
6,0,Sobol,6,COMPLETED,"{'6_0': {'dt': 1.12, 'sensor_std': 1.68, 'integration_method': 'RK4'}}"
7,0,Sobol,7,COMPLETED,"{'7_0': {'dt': 1.19, 'sensor_std': 1.06, 'integration_method': 'RK1'}}"
8,0,Sobol,8,COMPLETED,"{'8_0': {'dt': 1.12, 'sensor_std': 0.93, 'integration_method': 'RK2'}}"
9,0,Sobol,9,COMPLETED,"{'9_0': {'dt': 0.58, 'sensor_std': 0.55, 'integration_method': 'RK2'}}"
10,0,Sobol,10,COMPLETED,"{'10_0': {'dt': 1.5, 'sensor_std': 0.28, 'integration_method': 'RK2'}}"
11,0,Sobol,11,COMPLETED,"{'11_0': {'dt': 1.14, 'sensor_std': 0.32, 'integration_method': 'RK1'}}"
12,0,Sobol,12,COMPLETED,"{'12_0': {'dt': 0.81, 'sensor_std': 0.08, 'integration_method': 'RK2'}}"
13,0,Sobol,13,COMPLETED,"{'13_0': {'dt': 0.85, 'sensor_std': 1.4, 'integration_method': 'RK1'}}"
14,0,Sobol,14,COMPLETED,"{'14_0': {'dt': 0.11, 'sensor_std': 1.45, 'integration_method': 'RK2'}}"
15,0,Sobol,15,COMPLETED,"{'15_0': {'dt': 0.33, 'sensor_std': 1.71, 'integration_method': 'RK1'}}"
16,0,Sobol,16,COMPLETED,"{'16_0': {'dt': 1.13, 'sensor_std': 1.21, 'integration_method': 'RK2'}}"
17,0,Sobol,17,COMPLETED,"{'17_0': {'dt': 1.46, 'sensor_std': 0.84, 'integration_method': 'RK4'}}"
18,0,Sobol,18,COMPLETED,"{'18_0': {'dt': 1.02, 'sensor_std': 0.71, 'integration_method': 'RK1'}}"
19,0,Sobol,19,COMPLETED,"{'19_0': {'dt': 0.32, 'sensor_std': 1.74, 'integration_method': 'RK2'}}"
20,1,BO_MIXED,20,COMPLETED,"{'20_0': {'dt': 0.32, 'sensor_std': 1.25, 'integration_method': 'RK1'}}"
21,1,BO_MIXED,21,COMPLETED,"{'21_0': {'dt': 0.33, 'sensor_std': 1.3, 'integration_method': 'RK1'}}"
22,1,BO_MIXED,22,COMPLETED,"{'22_0': {'dt': 0.39, 'sensor_std': 1.27, 'integration_method': 'RK1'}}"
23,1,BO_MIXED,23,COMPLETED,"{'23_0': {'dt': 0.34, 'sensor_std': 1.25, 'integration_method': 'RK1'}}"
24,1,BO_MIXED,24,COMPLETED,"{'24_0': {'dt': 0.21, 'sensor_std': 1.31, 'integration_method': 'RK1'}}"
25,1,BO_MIXED,25,COMPLETED,"{'25_0': {'dt': 0.32, 'sensor_std': 1.35, 'integration_method': 'RK1'}}"
26,1,BO_MIXED,26,COMPLETED,"{'26_0': {'dt': 0.43, 'sensor_std': 1.47, 'integration_method': 'RK1'}}"
