,Generation Step,Generation Model,Trial Index,Trial Status,Arm Parameterizations
0,0,Sobol,0,COMPLETED,"{'0_0': {'dt': 0.66, 'sensor_std': 0.41, 'integration_method': 'RK1'}}"
1,0,Sobol,1,COMPLETED,"{'1_0': {'dt': 1.47, 'sensor_std': 3.0, 'integration_method': 'RK2'}}"
2,0,Sobol,2,COMPLETED,"{'2_0': {'dt': 0.31, 'sensor_std': 9.9, 'integration_method': 'RK2'}}"
3,0,Sobol,3,COMPLETED,"{'3_0': {'dt': 0.28, 'sensor_std': 2.49, 'integration_method': 'RK2'}}"
4,0,Sobol,4,COMPLETED,"{'4_0': {'dt': 0.67, 'sensor_std': 4.54, 'integration_method': 'RK2'}}"
5,0,Sobol,5,COMPLETED,"{'5_0': {'dt': 0.5, 'sensor_std': 7.34, 'integration_method': 'RK1'}}"
6,0,Sobol,6,COMPLETED,"{'6_0': {'dt': 0.34, 'sensor_std': 4.95, 'integration_method': 'RK2'}}"
7,0,Sobol,7,COMPLETED,"{'7_0': {'dt': 0.29, 'sensor_std': 7.2, 'integration_method': 'RK2'}}"
8,0,Sobol,8,COMPLETED,"{'8_0': {'dt': 0.15, 'sensor_std': 4.1, 'integration_method': 'RK1'}}"
9,0,Sobol,9,COMPLETED,"{'9_0': {'dt': 1.32, 'sensor_std': 2.06, 'integration_method': 'RK1'}}"
10,0,Sobol,10,COMPLETED,"{'10_0': {'dt': 0.17, 'sensor_std': 2.17, 'integration_method': 'RK2'}}"
11,0,Sobol,11,COMPLETED,"{'11_0': {'dt': 0.87, 'sensor_std': 4.85, 'integration_method': 'RK4'}}"
12,0,Sobol,12,COMPLETED,"{'12_0': {'dt': 1.19, 'sensor_std': 6.28, 'integration_method': 'RK4'}}"
13,0,Sobol,13,COMPLETED,"{'13_0': {'dt': 1.48, 'sensor_std': 0.86, 'integration_method': 'RK1'}}"
14,0,Sobol,14,COMPLETED,"{'14_0': {'dt': 0.53, 'sensor_std': 2.58, 'integration_method': 'RK4'}}"
15,0,Sobol,15,COMPLETED,"{'15_0': {'dt': 0.41, 'sensor_std': 8.91, 'integration_method': 'RK1'}}"
16,0,Sobol,16,COMPLETED,"{'16_0': {'dt': 0.32, 'sensor_std': 9.3, 'integration_method': 'RK4'}}"
17,0,Sobol,17,COMPLETED,"{'17_0': {'dt': 0.87, 'sensor_std': 0.21, 'integration_method': 'RK2'}}"
18,0,Sobol,18,COMPLETED,"{'18_0': {'dt': 0.68, 'sensor_std': 3.05, 'integration_method': 'RK4'}}"
