,Generation Step,Generation Model,Trial Index,Trial Status,Arm Parameterizations
0,0,Sobol,0,COMPLETED,"{'0_0': {'dt': 0.73, 'sensor_std': 8.37, 'integration_method': 'RK4'}}"
1,0,Sobol,1,COMPLETED,"{'1_0': {'dt': 0.7, 'sensor_std': 4.67, 'integration_method': 'RK2'}}"
2,0,Sobol,2,COMPLETED,"{'2_0': {'dt': 1.45, 'sensor_std': 6.47, 'integration_method': 'RK2'}}"
3,0,Sobol,3,COMPLETED,"{'3_0': {'dt': 1.48, 'sensor_std': 6.57, 'integration_method': 'RK4'}}"
4,0,Sobol,4,COMPLETED,"{'4_0': {'dt': 0.95, 'sensor_std': 0.62, 'integration_method': 'RK4'}}"
5,0,Sobol,5,COMPLETED,"{'5_0': {'dt': 0.65, 'sensor_std': 0.26, 'integration_method': 'RK4'}}"
6,0,Sobol,6,COMPLETED,"{'6_0': {'dt': 0.19, 'sensor_std': 3.57, 'integration_method': 'RK1'}}"
7,0,Sobol,7,COMPLETED,"{'7_0': {'dt': 0.7, 'sensor_std': 2.33, 'integration_method': 'RK4'}}"
8,0,Sobol,8,COMPLETED,"{'8_0': {'dt': 1.16, 'sensor_std': 1.51, 'integration_method': 'RK4'}}"
9,0,Sobol,9,COMPLETED,"{'9_0': {'dt': 0.77, 'sensor_std': 3.22, 'integration_method': 'RK1'}}"
10,0,Sobol,10,COMPLETED,"{'10_0': {'dt': 1.28, 'sensor_std': 7.28, 'integration_method': 'RK1'}}"
11,0,Sobol,11,COMPLETED,"{'11_0': {'dt': 0.28, 'sensor_std': 0.2, 'integration_method': 'RK1'}}"
12,0,Sobol,12,COMPLETED,"{'12_0': {'dt': 0.28, 'sensor_std': 1.92, 'integration_method': 'RK2'}}"
13,0,Sobol,13,COMPLETED,"{'13_0': {'dt': 0.59, 'sensor_std': 4.49, 'integration_method': 'RK4'}}"
14,0,Sobol,14,COMPLETED,"{'14_0': {'dt': 0.44, 'sensor_std': 9.07, 'integration_method': 'RK4'}}"
15,0,Sobol,15,COMPLETED,"{'15_0': {'dt': 1.0, 'sensor_std': 8.51, 'integration_method': 'RK1'}}"
16,0,Sobol,16,COMPLETED,"{'16_0': {'dt': 0.94, 'sensor_std': 4.85, 'integration_method': 'RK1'}}"
17,0,Sobol,17,COMPLETED,"{'17_0': {'dt': 0.25, 'sensor_std': 2.84, 'integration_method': 'RK1'}}"
18,0,Sobol,18,COMPLETED,"{'18_0': {'dt': 1.28, 'sensor_std': 8.2, 'integration_method': 'RK1'}}"
19,0,Sobol,19,COMPLETED,"{'19_0': {'dt': 0.94, 'sensor_std': 8.9, 'integration_method': 'RK2'}}"
20,1,BO_MIXED,20,COMPLETED,"{'20_0': {'dt': 0.43, 'sensor_std': 2.16, 'integration_method': 'RK2'}}"
21,1,BO_MIXED,21,COMPLETED,"{'21_0': {'dt': 0.1, 'sensor_std': 3.94, 'integration_method': 'RK2'}}"
22,1,BO_MIXED,22,COMPLETED,"{'22_0': {'dt': 0.1, 'sensor_std': 1.98, 'integration_method': 'RK2'}}"
23,1,BO_MIXED,23,COMPLETED,"{'23_0': {'dt': 0.22, 'sensor_std': 3.27, 'integration_method': 'RK2'}}"
24,1,BO_MIXED,24,COMPLETED,"{'24_0': {'dt': 0.1, 'sensor_std': 1.66, 'integration_method': 'RK2'}}"
25,1,BO_MIXED,25,COMPLETED,"{'25_0': {'dt': 0.1, 'sensor_std': 1.55, 'integration_method': 'RK2'}}"
26,1,BO_MIXED,26,COMPLETED,"{'26_0': {'dt': 0.1, 'sensor_std': 2.15, 'integration_method': 'RK2'}}"
27,1,BO_MIXED,27,COMPLETED,"{'27_0': {'dt': 0.1, 'sensor_std': 2.11, 'integration_method': 'RK2'}}"
28,1,BO_MIXED,28,COMPLETED,"{'28_0': {'dt': 0.1, 'sensor_std': 2.08, 'integration_method': 'RK2'}}"
29,1,BO_MIXED,29,COMPLETED,"{'29_0': {'dt': 0.1, 'sensor_std': 2.05, 'integration_method': 'RK2'}}"
30,1,BO_MIXED,30,COMPLETED,"{'30_0': {'dt': 0.1, 'sensor_std': 2.02, 'integration_method': 'RK2'}}"
31,1,BO_MIXED,31,COMPLETED,"{'31_0': {'dt': 0.1, 'sensor_std': 1.95, 'integration_method': 'RK2'}}"
32,1,BO_MIXED,32,COMPLETED,"{'32_0': {'dt': 0.1, 'sensor_std': 2.04, 'integration_method': 'RK2'}}"
33,1,BO_MIXED,33,COMPLETED,"{'33_0': {'dt': 0.1, 'sensor_std': 2.03, 'integration_method': 'RK2'}}"
34,1,BO_MIXED,34,COMPLETED,"{'34_0': {'dt': 0.1, 'sensor_std': 1.99, 'integration_method': 'RK2'}}"
35,1,BO_MIXED,35,COMPLETED,"{'35_0': {'dt': 0.1, 'sensor_std': 1.98, 'integration_method': 'RK2'}}"
36,1,BO_MIXED,36,COMPLETED,"{'36_0': {'dt': 0.1, 'sensor_std': 2.01, 'integration_method': 'RK2'}}"
37,1,BO_MIXED,37,COMPLETED,"{'37_0': {'dt': 0.1, 'sensor_std': 2.01, 'integration_method': 'RK2'}}"
38,1,BO_MIXED,38,COMPLETED,"{'38_0': {'dt': 0.1, 'sensor_std': 2.04, 'integration_method': 'RK2'}}"
39,1,BO_MIXED,39,COMPLETED,"{'39_0': {'dt': 0.1, 'sensor_std': 2.08, 'integration_method': 'RK2'}}"
40,1,BO_MIXED,40,COMPLETED,"{'40_0': {'dt': 0.1, 'sensor_std': 2.06, 'integration_method': 'RK2'}}"
41,1,BO_MIXED,41,COMPLETED,"{'41_0': {'dt': 0.1, 'sensor_std': 2.03, 'integration_method': 'RK2'}}"
42,1,BO_MIXED,42,COMPLETED,"{'42_0': {'dt': 0.1, 'sensor_std': 2.01, 'integration_method': 'RK2'}}"
43,1,BO_MIXED,43,COMPLETED,"{'43_0': {'dt': 0.1, 'sensor_std': 2.01, 'integration_method': 'RK2'}}"
44,1,BO_MIXED,44,COMPLETED,"{'44_0': {'dt': 0.1, 'sensor_std': 2.07, 'integration_method': 'RK2'}}"
45,1,BO_MIXED,45,COMPLETED,"{'45_0': {'dt': 0.1, 'sensor_std': 2.0, 'integration_method': 'RK2'}}"
