,Generation Step,Generation Model,Trial Index,Trial Status,Arm Parameterizations
0,0,Sobol,0,COMPLETED,"{'0_0': {'dt': 1.49, 'sensor_std': 1.3, 'integration_method': 'RK4'}}"
1,0,Sobol,1,COMPLETED,"{'1_0': {'dt': 0.63, 'sensor_std': 9.81, 'integration_method': 'RK4'}}"
2,0,Sobol,2,COMPLETED,"{'2_0': {'dt': 0.62, 'sensor_std': 6.87, 'integration_method': 'RK4'}}"
3,0,Sobol,3,COMPLETED,"{'3_0': {'dt': 0.22, 'sensor_std': 1.97, 'integration_method': 'RK2'}}"
4,0,Sobol,4,COMPLETED,"{'4_0': {'dt': 1.39, 'sensor_std': 6.42, 'integration_method': 'RK4'}}"
5,0,Sobol,5,COMPLETED,"{'5_0': {'dt': 0.63, 'sensor_std': 8.06, 'integration_method': 'RK1'}}"
6,0,Sobol,6,COMPLETED,"{'6_0': {'dt': 0.72, 'sensor_std': 8.13, 'integration_method': 'RK1'}}"
7,0,Sobol,7,COMPLETED,"{'7_0': {'dt': 1.32, 'sensor_std': 3.25, 'integration_method': 'RK1'}}"
8,0,Sobol,8,COMPLETED,"{'8_0': {'dt': 1.28, 'sensor_std': 4.1, 'integration_method': 'RK2'}}"
9,0,Sobol,9,COMPLETED,"{'9_0': {'dt': 1.44, 'sensor_std': 6.94, 'integration_method': 'RK2'}}"
10,0,Sobol,10,COMPLETED,"{'10_0': {'dt': 0.29, 'sensor_std': 0.66, 'integration_method': 'RK1'}}"
11,0,Sobol,11,COMPLETED,"{'11_0': {'dt': 1.22, 'sensor_std': 2.1, 'integration_method': 'RK2'}}"
12,0,Sobol,12,COMPLETED,"{'12_0': {'dt': 1.09, 'sensor_std': 2.54, 'integration_method': 'RK4'}}"
13,0,Sobol,13,COMPLETED,"{'13_0': {'dt': 0.73, 'sensor_std': 2.03, 'integration_method': 'RK1'}}"
14,0,Sobol,14,COMPLETED,"{'14_0': {'dt': 1.31, 'sensor_std': 9.57, 'integration_method': 'RK1'}}"
15,0,Sobol,15,COMPLETED,"{'15_0': {'dt': 0.45, 'sensor_std': 2.08, 'integration_method': 'RK4'}}"
16,0,Sobol,16,COMPLETED,"{'16_0': {'dt': 1.48, 'sensor_std': 8.72, 'integration_method': 'RK1'}}"
17,0,Sobol,17,COMPLETED,"{'17_0': {'dt': 0.91, 'sensor_std': 5.29, 'integration_method': 'RK1'}}"
18,0,Sobol,18,COMPLETED,"{'18_0': {'dt': 1.19, 'sensor_std': 1.86, 'integration_method': 'RK4'}}"
19,0,Sobol,19,COMPLETED,"{'19_0': {'dt': 1.2, 'sensor_std': 8.53, 'integration_method': 'RK2'}}"
20,1,BO_MIXED,20,COMPLETED,"{'20_0': {'dt': 0.69, 'sensor_std': 3.5, 'integration_method': 'RK4'}}"
21,1,BO_MIXED,21,COMPLETED,"{'21_0': {'dt': 0.53, 'sensor_std': 4.5, 'integration_method': 'RK4'}}"
22,1,BO_MIXED,22,COMPLETED,"{'22_0': {'dt': 0.46, 'sensor_std': 0.1, 'integration_method': 'RK1'}}"
23,1,BO_MIXED,23,COMPLETED,"{'23_0': {'dt': 0.77, 'sensor_std': 4.86, 'integration_method': 'RK4'}}"
24,1,BO_MIXED,24,COMPLETED,"{'24_0': {'dt': 0.61, 'sensor_std': 0.8, 'integration_method': 'RK4'}}"
25,1,BO_MIXED,25,COMPLETED,"{'25_0': {'dt': 0.36, 'sensor_std': 0.91, 'integration_method': 'RK1'}}"
26,1,BO_MIXED,26,COMPLETED,"{'26_0': {'dt': 0.14, 'sensor_std': 0.1, 'integration_method': 'RK1'}}"
27,1,BO_MIXED,27,COMPLETED,"{'27_0': {'dt': 0.25, 'sensor_std': 0.1, 'integration_method': 'RK1'}}"
28,1,BO_MIXED,28,COMPLETED,"{'28_0': {'dt': 0.16, 'sensor_std': 2.22, 'integration_method': 'RK1'}}"
29,1,BO_MIXED,29,COMPLETED,"{'29_0': {'dt': 0.19, 'sensor_std': 0.8, 'integration_method': 'RK1'}}"
30,1,BO_MIXED,30,COMPLETED,"{'30_0': {'dt': 0.1, 'sensor_std': 0.97, 'integration_method': 'RK1'}}"
31,1,BO_MIXED,31,COMPLETED,"{'31_0': {'dt': 0.1, 'sensor_std': 1.15, 'integration_method': 'RK1'}}"
32,1,BO_MIXED,32,COMPLETED,"{'32_0': {'dt': 0.1, 'sensor_std': 4.66, 'integration_method': 'RK1'}}"
33,1,BO_MIXED,33,COMPLETED,"{'33_0': {'dt': 0.1, 'sensor_std': 1.78, 'integration_method': 'RK1'}}"
34,1,BO_MIXED,34,COMPLETED,"{'34_0': {'dt': 0.1, 'sensor_std': 2.13, 'integration_method': 'RK1'}}"
35,1,BO_MIXED,35,COMPLETED,"{'35_0': {'dt': 0.1, 'sensor_std': 1.15, 'integration_method': 'RK1'}}"
36,1,BO_MIXED,36,COMPLETED,"{'36_0': {'dt': 0.1, 'sensor_std': 1.1, 'integration_method': 'RK1'}}"
37,1,BO_MIXED,37,COMPLETED,"{'37_0': {'dt': 0.1, 'sensor_std': 0.99, 'integration_method': 'RK1'}}"
38,1,BO_MIXED,38,COMPLETED,"{'38_0': {'dt': 0.1, 'sensor_std': 1.13, 'integration_method': 'RK1'}}"
39,1,BO_MIXED,39,COMPLETED,"{'39_0': {'dt': 0.27, 'sensor_std': 0.4, 'integration_method': 'RK1'}}"
40,1,BO_MIXED,40,COMPLETED,"{'40_0': {'dt': 0.33, 'sensor_std': 1.06, 'integration_method': 'RK1'}}"
41,1,BO_MIXED,41,COMPLETED,"{'41_0': {'dt': 0.24, 'sensor_std': 0.72, 'integration_method': 'RK1'}}"
